id,name,sku,price,currency,variations,quantity,status
47889,بوتشي ملون,,1939,SAR,,0,out
47894,جريش بالدجاج,,15,SAR,,3,sale
47903,أصغر سبيكر بلوتوث ,,40,SAR,,15,sale
47932,ديور,,180,SAR,,NULL,hidden
47933,دكني مع محفظة,,180,SAR,,NULL,hidden
47976,Gucci,,3425,SAR,,2,sale
47983,541507764572,,180,SAR,,NULL,hidden
47984,527234765792,,180,SAR,,NULL,hidden
47985,527234765792,,180,SAR,,NULL,hidden
47986,541531015343,,170,SAR,,NULL,hidden
47987,541531015343,,170,SAR,,NULL,hidden
47988,535030577783,,170,SAR,,NULL,hidden
47989,535030577783,,170,SAR,,NULL,hidden
47990,535030577783,,170,SAR,,NULL,hidden
47991,535030577783,,170,SAR,,NULL,hidden
47992,539906776821,,190,SAR,,NULL,hidden
47993,539906776821,,190,SAR,,NULL,hidden
47994,539906776821,,190,SAR,,NULL,hidden
47995,541467933923,,180,SAR,,NULL,hidden
47996,541467933923,,180,SAR,,NULL,hidden
47997,541467933923,,180,SAR,,NULL,hidden
47998,524304273123,,220,SAR,,NULL,hidden
47999,537311407606,,180,SAR,,NULL,hidden
48000,531271205796,,180,SAR,,NULL,hidden
48001,531271205796,,180,SAR,,NULL,hidden
48002,531271205796,,180,SAR,,NULL,hidden
48003,521075079014,,170,SAR,,NULL,hidden
48004,521075079014,,170,SAR,,NULL,hidden
48005,521075079014,,170,SAR,,NULL,hidden
48006,521075079014,,170,SAR,,NULL,hidden
48007,533235986508,,170,SAR,,NULL,hidden
48008,541529553210,,160,SAR,,NULL,hidden
48009,541286429548,,180,SAR,,NULL,hidden
48010,541286429548,,180,SAR,,NULL,hidden
48011,541286429548,,180,SAR,,NULL,hidden
48012,541299891007,,180,SAR,,NULL,hidden
48013,541299891007,,180,SAR,,NULL,hidden
48014,542008076924,,170,SAR,,NULL,hidden
48015,542008076924,,170,SAR,,NULL,hidden
48016,541065274626,,170,SAR,,NULL,hidden
48017,541065274626,,170,SAR,,NULL,hidden
48018,541065274626,,170,SAR,,NULL,hidden
48019,534680985496,,170,SAR,,NULL,hidden
48020,534680985496,,180,SAR,,NULL,hidden
48021,534786446083,,180,SAR,,NULL,hidden
48022,534786446083,,180,SAR,,NULL,hidden
48023,541157936901,,170,SAR,,NULL,hidden
48024,535449382137,,170,SAR,,NULL,hidden
48025,535449382137,,170,SAR,,NULL,hidden
48026,540439544329,,170,SAR,,NULL,hidden
48027,540439544329,,170,SAR,,NULL,hidden
48028,538023316932,,170,SAR,,NULL,hidden
48029,538023316932,,170,SAR,,NULL,hidden
48030,538023316932,,170,SAR,,NULL,hidden
48032,536123778532,,70,SAR,,NULL,hidden
48033,536123778532,,70,SAR,,NULL,hidden
48034,531836179298,,45,SAR,,NULL,hidden
48035,539516588477,,150,SAR,,NULL,hidden
48036,539516588477,,150,SAR,,NULL,hidden
48037,537830748840,,190,SAR,,NULL,hidden
48038,540666965454,,170,SAR,,NULL,hidden
48039,540666965454,,170,SAR,,NULL,hidden
48040,540666965454,,170,SAR,,NULL,hidden
48041,531710151251,,165,SAR,,NULL,hidden
48042,531710151251,,165,SAR,,NULL,hidden
48043,535568838080,,180,SAR,,NULL,hidden
48045,535568838080,,180,SAR,,NULL,hidden
48046,535568838080,,180,SAR,,NULL,hidden
48047,541011531115,,170,SAR,,NULL,hidden
48048,541011531115,,170,SAR,,NULL,hidden
48049,529467071479,,170,SAR,,NULL,hidden
48050,529467071479,,170,SAR,,NULL,hidden
48051,529467071479,,170,SAR,,NULL,hidden
48052,540288269655,,170,SAR,,NULL,hidden
48053,540281860065,,170,SAR,,NULL,hidden
48054,540281860065,,170,SAR,,NULL,hidden
48055,540281860065,,170,SAR,,NULL,hidden
48056,536818646778,,170,SAR,,NULL,hidden
48058,536818646778,,170,SAR,,NULL,hidden
48059,540161285451,,170,SAR,,NULL,hidden
48060,540161285451,,170,SAR,,NULL,hidden
48061,539599576424,,170,SAR,,NULL,hidden
48062,539599576424,,170,SAR,,NULL,hidden
48063,539599576424,,170,SAR,,NULL,hidden
48064,539599576424,,170,SAR,,NULL,hidden
48065,533965375548,,170,SAR,,NULL,hidden
48066,533965375548,,170,SAR,,NULL,hidden
48067,541058741082,,170,SAR,,NULL,hidden
48068,541058741082,,170,SAR,,NULL,hidden
48069,541058741082,,170,SAR,,NULL,hidden
48071,533790960209,,170,SAR,,NULL,hidden
48072,533790960209,,170,SAR,,NULL,hidden
48073,533790960209,,170,SAR,,NULL,hidden
48074,538265178840,,170,SAR,,NULL,hidden
48075,538265178840,,170,SAR,,NULL,hidden
48076,535519661395,,160,SAR,,NULL,hidden
48077,535519661395,,160,SAR,,NULL,hidden
48078,538668321926,,170,SAR,,NULL,hidden
48079,538668321926,,170,SAR,,NULL,hidden
48080,538668321926,,170,SAR,,NULL,hidden
48081,540828459099,,150,SAR,,NULL,hidden
48082,540828459099,,150,SAR,,NULL,hidden
48084,540828459099,,150,SAR,,NULL,hidden
48085,527862711975,,140,SAR,,NULL,hidden
48086,530496845716,,140,SAR,,NULL,hidden
48087,538844743909,,130,SAR,,NULL,hidden
48088,520824836710,,180,SAR,,NULL,hidden
48089,520824836710,,180,SAR,,NULL,hidden
48090,520824836710,,180,SAR,,NULL,hidden
48091,524347776236,,200,SAR,,NULL,hidden
48092,524502388037,,155,SAR,,NULL,hidden
48093,524502388037,,155,SAR,,NULL,hidden
48094,524490990475,,170,SAR,,NULL,hidden
48095,524490990475,,170,SAR,,NULL,hidden
48096,524337869610,,200,SAR,,NULL,hidden
48097,541138583428,,150,SAR,,NULL,hidden
48098,541138583428,,150,SAR,,NULL,hidden
48099,520819002907,,160,SAR,,NULL,hidden
48100,525947113791,,140,SAR,,NULL,hidden
48101,525947113791,,140,SAR,,NULL,hidden
48102,525947113791,,140,SAR,,NULL,hidden
48103,535821560183,,150,SAR,,NULL,hidden
48104,535821560183,,150,SAR,,NULL,hidden
48105,531139700846,,150,SAR,,NULL,hidden
48106,531139700846,,150,SAR,,NULL,hidden
48107,531139700846,,150,SAR,,NULL,hidden
48109,536395944182,,150,SAR,,NULL,hidden
48110,536395944182,,150,SAR,,NULL,hidden
48111,536395944182,,150,SAR,,NULL,hidden
48112,524831523192,,150,SAR,,NULL,hidden
48113,524831523192,,150,SAR,,NULL,hidden
48114,524831523192,,150,SAR,,NULL,hidden
